año,descripción,precio,cilindros,link
2017,Dodge,Attitude,138500,3,https://soloautos.mx/usado/autos/2017-Dodge-Attitude-SE-TM/SA-AD-89089157
2014,Nissan,Versa,139000,4,https://soloautos.mx/usado/autos/2014-Nissan-Versa-Sense-TM-AC/SA-AD-89097214
2015,Toyota,Yaris,179000,4,https://soloautos.mx/usado/autos/2015-Toyota-Yaris-Sedan-Premium-AT/SA-AD-89066313
2012,Chevrolet,Sonic,128000,4,https://soloautos.mx/usado/autos/2012-Chevrolet-Sonic-AT-F/SA-AD-88995945
2012,Ford,Focus,159000,4,https://soloautos.mx/usado/autos/2012-Ford-Focus-SEL-AT/SA-AD-89104548
2013,Honda,Civic,188500,4,https://soloautos.mx/usado/autos/2013-Honda-Civic-EX-AT-2drs/SA-AD-89057008
2012,Suzuki,Grand,199000,4,https://soloautos.mx/usado/autos/2012-Suzuki-Grand-Vitara-L4-GLS/SA-AD-89086214
2014,Volkswagen,CrossFox,165000,4,https://soloautos.mx/usado/autos/2014-Volkswagen-CrossFox-CrossFox-Techo-Corredizo-TM/SA-AD-89089377
2016,Volkswagen,Gol,125000,4,https://soloautos.mx/usado/autos/2016-Volkswagen-Gol-Track-5-Ptas--CL-AC-CD-ASG/SA-AD-89068051
2015,Volkswagen,Jetta,199500,5,https://soloautos.mx/usado/autos/2015-Volkswagen-Jetta-Trendline-Tiptronic/SA-AD-89098113
2015,Ford,Fiesta,159000,4,https://soloautos.mx/usado/autos/2015-Ford-Fiesta-SE-AT-5-ptas/SA-AD-89082715
2016,Nissan,Versa,185000,4,https://soloautos.mx/usado/autos/2016-Nissan-Versa-Exclusive-NAVI-AT-AC/SA-AD-89090283
2017,Nissan,Versa,189000,4,https://soloautos.mx/usado/autos/2017-Nissan-Versa-Advance-AT-AC/SA-AD-89087301
2012,SEAT,Ibiza,129800,4,https://soloautos.mx/usado/autos/2012-SEAT-Ibiza-Ibiza-Sport-ESP-Faros-Xenón-MT/SA-AD-89083268
2014,Toyota,Yaris,158000,4,https://soloautos.mx/usado/autos/2014-Toyota-Yaris-Sedan-Premium-MT/SA-AD-89102588
2016,Chevrolet,Aveo,139800,4,https://soloautos.mx/usado/autos/2016-Chevrolet-Aveo-LS-M-MT/SA-AD-89004207
2015,Ford,Fiesta,155000,4,https://soloautos.mx/usado/autos/2015-Ford-Fiesta-S-AT/SA-AD-89071737
2015,Honda,City,200000,4,https://soloautos.mx/usado/autos/2015-Honda-City-1-5-EX-CVT/SA-AD-89101117
2015,Renault,Logan,132900,4,https://soloautos.mx/usado/autos/2015-Renault-Logan-Dynamique-MT/SA-AD-89082999
2014,Suzuki,Swift,158000,4,https://soloautos.mx/usado/autos/2014-Suzuki-Swift-1-4-GLS-TA/SA-AD-89091475
2017,Volkswagen,Polo,200000,4,https://soloautos.mx/usado/autos/2017-Volkswagen-Polo-Allstar-Tiptronic/SA-AD-89073339
2015,FIAT,Palio,155000,4,https://soloautos.mx/usado/autos/2015-FIAT-Palio-1-6-Adventure-Dualogic-TA/SA-AD-89093080
2015,Nissan,NP300,200000,4,https://soloautos.mx/usado/autos/2015-Nissan-NP300-ESTACAS-T-M-DH-Versión-Especial/SA-AD-89096562
2013,Nissan,X-TRAIL,199000,4,https://soloautos.mx/usado/autos/2013-Nissan-X-TRAIL-Advance-Tela/SA-AD-88948309
2013,Chevrolet,Aveo,105000,4,https://soloautos.mx/usado/autos/2013-Chevrolet-Aveo-B-LT-Manual,-radio,-Bluetooth/SA-AD-89093625
2014,Nissan,Versa,149500,4,https://soloautos.mx/usado/autos/2014-Nissan-Versa-Advance-TM-AC/SA-AD-89057902
2013,Ram,Ram,185000,6,https://soloautos.mx/usado/autos/2013-Ram-Ram-1500-1500-ST-3-7-4x2-V6-TA/SA-AD-89083064
2017,Ford,Figo,161700,4,https://soloautos.mx/usado/autos/2017-Ford-Figo-IMPULSE-TM-4-PTAS/SA-AD-89089014
2013,MINI,MINI,197000,4,https://soloautos.mx/usado/autos/2013-MINI-MINI-Cooper-All-Black-AT/SA-AD-89095897
2012,Nissan,Tiida,100000,4,https://soloautos.mx/usado/autos/2012-Nissan-Tiida-Sedan-Comfort-TM/SA-AD-89070094
2012,Nissan,Tiida,125000,4,https://soloautos.mx/usado/autos/2012-Nissan-Tiida-Sedan-Comfort-TA-AC/SA-AD-89082731
2012,Volkswagen,Jetta,129000,5,https://soloautos.mx/usado/autos/2012-Volkswagen-Jetta-Active-Tiptronic/SA-AD-89099525
2015,FIAT,500,185000,4,https://soloautos.mx/usado/autos/2015-FIAT-500-Sport-Turbo-TA/SA-AD-88987375
2012,Mercedes-Benz,Clase,199000,4,https://soloautos.mx/usado/autos/2012-Mercedes-Benz-Clase-C-C-250-CGI-Sport/SA-AD-89095438
2017,Volkswagen,up!,165000,3,https://soloautos.mx/usado/autos/2017-Volkswagen-up!-high-up!/SA-AD-89068374
2012,Honda,Accord,190000,6,https://soloautos.mx/usado/autos/2012-Honda-Accord-EX-L-V6-AT/SA-AD-89102285
2017,Peugeot,301,185000,4,https://soloautos.mx/usado/autos/2017-Peugeot-301-ALLURE-4p-1-6HDI-92hp-Man-5Vel/SA-AD-89092223
2015,Renault,Kangoo,154950,4,https://soloautos.mx/usado/autos/2015-Renault-Kangoo-Express-1-6-Kangoo-Express-ABS-AC-MT/SA-AD-89086783
2012,Chevrolet,Aveo,99500,4,https://soloautos.mx/usado/autos/2012-Chevrolet-Aveo-MT-M/SA-AD-89096133
2013,Chrysler,Town,192000,6,https://soloautos.mx/usado/autos/2013-Chrysler-Town---Country-LX/SA-AD-89091755
2012,Toyota,Camry,169000,4,https://soloautos.mx/usado/autos/2012-Toyota-Camry-LE-6AT/SA-AD-89103538
