ubicación,precio,tamaño,habitaciones,baños,estacionamientos,link
 Nueva Galicia,2650000,127,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-fraccionamiento+nueva+galicia+residencia-tlajomulco+de+zuniga-jalisco-20710-2067506
 Los Gavilanes,12500000,1200,3 ,4.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-los+gavilanes-tlajomulco+de+zuniga-jalisco-45640-2244914
 Del Pilar Residencial,3300000,222,3 ,3.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-del+pilar+residencial-tlajomulco+de+zuniga-jalisco-45640-1687758
 La Alameda,448000,60,2 ,1.0  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+alameda-el+salto-jalisco-45694-2067856
 La Alameda,493600,67,3 ,1.5  ,0,http://www.casasyterrenos.com/detalle-casa/venta-la+alameda-el+salto-jalisco-45694-2067870
 Villas De La Hacienda,830000,90,3 ,1.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-villas+de+la+hacienda-tlajomulco+de+zuniga-jalisco-45684-2067940
 Parques Del Bosque,1800000,88,4 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-parques+del+bosque-tlaquepaque-jalisco-45610-2101883
 Vicente Guerrero,1250000,300,4 ,2.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-vicente+guerrero-zapopan-jalisco-45160-2111712
 Geo Villas Los Olivos I,1100000,157,3 ,2.5  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-geo+villas+los+olivos+i-tlaquepaque-jalisco-45610-193130
 Parques Del Bosque,1800000,88,4 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-parques+del+bosque-tlaquepaque-jalisco-45610-2101883
 Vicente Guerrero,1250000,300,4 ,2.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-vicente+guerrero-zapopan-jalisco-45160-2111712
 Geo Villas Los Olivos I,1100000,157,3 ,2.5  , 1.0  ,http://www.casasyterrenos.com/detalle-casa/venta-geo+villas+los+olivos+i-tlaquepaque-jalisco-45610-193130
 Bosques De Santa Anita,2950000,220,3 ,3.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-bosques+de+santa+anita-tlajomulco+de+zuniga-jalisco-45640-1288944
 Altea,1930000,102,3 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-altea-tlajomulco+de+zuniga-jalisco-45645-1956013
 El Palomar,4360000,311,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+palomar-tlajomulco+de+zuniga-jalisco-45640-2244634
 Parques De Santa Cruz Del Valle,890000,80,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-parques+de+santa+cruz+del+valle-tlaquepaque-jalisco-1894118
 Parques De Santa Maria,1100000,80,5 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-parques+de+santa+maria-tlaquepaque-jalisco-45601-1776893
 Bosques De La Esperanza,430000,180,1 ,1.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-bosques+de+la+esperanza-tlajomulco+de+zuniga-jalisco-45640-1481501
 Punto Sur,3600000,128,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-punto+sur-tlajomulco+de+zuniga-jalisco-45645-1696234
 Balcones De Santa Anita,580000,80,3 ,1.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-balcones+de+santa+anita-tlajomulco+de+zuniga-jalisco-2244599
 El Alcázar (casa Fuerte),2590000,140,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-el+alcazar+(casa+fuerte)-tlajomulco+de+zuniga-jalisco-2137626
 Agua Blanca Industrial,1245000,106,2 ,2.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-agua+blanca+industrial-zapopan-jalisco-2137472
 Villa California,1650000,140,3 ,1.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-villa+california-tlajomulco+de+zuniga-jalisco-45640-2243689
 Colonia Tlajomulco Centro,1680000,120,3 ,3.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-tlajomulco+centro-tlajomulco+de+zuniga-jalisco-2168804
 Los Cajetes,1380000,289,1 ,1.0  ,0,http://www.casasyterrenos.com/detalle-casa/venta-los+cajetes-zapopan-jalisco-2109276
 Hacienda Mirage,4850000,1012,4 ,2.0  , 8.0  ,http://www.casasyterrenos.com/detalle-casa/venta-hacienda+mirage-tlajomulco+de+zuniga-jalisco-2187899
