ubicación,precio,tamaño,precio por metro, link
 Pueblo San Juan Evangelista,7488000,19200,390.0,http://www.casasyterrenos.com/detalle-terreno/venta-pueblo+san+juan+evangelista-tlajomulco+de+zuniga-jalisco-2040787
 Bosques Cedros,1715000,218,7866.97,http://www.casasyterrenos.com/detalle-terreno/venta-bosques+cedros-tlajomulco+de+zuniga-jalisco-2040458
 Fraccionamiento Senderos Monte Verde,800000,200,4000.0,http://www.casasyterrenos.com/detalle-terreno/venta-fraccionamiento+senderos+monte+verde-tlajomulco+de+zuniga-jalisco-2040451
 Ejido San Jose Del Castillo,2000000,1000,2000.0,http://www.casasyterrenos.com/detalle-terreno/venta-ejido+san+jose+del+castillo-el+salto-jalisco-2040430
 Fraccionamiento Bosque Real,1513339,233,6495.02,http://www.casasyterrenos.com/detalle-terreno/venta-fraccionamiento+bosque+real-tlajomulco+de+zuniga-jalisco-2040339
 Fraccionamiento Bosque Real,1086620,136,7989.85,http://www.casasyterrenos.com/detalle-terreno/venta-fraccionamiento+bosque+real-tlajomulco+de+zuniga-jalisco-2040332
 Fraccionamiento Bosque Real,1223915,144,8499.41,http://www.casasyterrenos.com/detalle-terreno/venta-fraccionamiento+bosque+real-tlajomulco+de+zuniga-jalisco-2040325
 Fraccionamiento Bosque Real,1726340,266,6490.0,http://www.casasyterrenos.com/detalle-terreno/venta-fraccionamiento+bosque+real-tlajomulco+de+zuniga-jalisco-2040318
 Fraccionamiento Bosque Real,1510284,202,7476.65,http://www.casasyterrenos.com/detalle-terreno/venta-fraccionamiento+bosque+real-tlajomulco+de+zuniga-jalisco-2040311
 Colonia Acatlan De Juárez,21303709,30434,700.0,http://www.casasyterrenos.com/detalle-terreno/venta-colonia+acatlan+de+juarez-acatlan+de+juarez-jalisco-2097956
 Las Pintas,16168000,7698,2100.29,http://www.casasyterrenos.com/detalle-terreno/venta-las+pintas-el+salto-jalisco-2128946
 Los Sauces,13805350,21239,650.0,http://www.casasyterrenos.com/detalle-terreno/venta-los+sauces-tlajomulco+de+zuniga-jalisco-2005598
 Cajititlan,280000,200,1400.0,http://www.casasyterrenos.com/detalle-terreno/venta-cajititlan-tlajomulco+de+zuniga-jalisco-1951591
 Los Cantaros,9352329,22267,420.01,http://www.casasyterrenos.com/detalle-terreno/venta-los+cantaros-tlajomulco+de+zuniga-jalisco-1951581
 Hacienda Santa Fe,11118000,1853,6000.0,http://www.casasyterrenos.com/detalle-terreno/venta-hacienda+santa+fe-tlajomulco+de+zuniga-jalisco-2128939
 Bosques De Santa Anita,1250040,220,5682.0,http://www.casasyterrenos.com/detalle-terreno/venta-bosques+de+santa+anita-tlajomulco+de+zuniga-jalisco-1959545
 San Agustin,47524563,17500,2715.69,http://www.casasyterrenos.com/detalle-terreno/venta-san+agustin-tlajomulco+de+zuniga-jalisco-1955357
 La Purisima,46560000,100000,465.6,http://www.casasyterrenos.com/detalle-terreno/venta-la+purisima-el+salto-jalisco-2127147
 La Purisima,34560000,70000,493.71,http://www.casasyterrenos.com/detalle-terreno/venta-la+purisima-el+salto-jalisco-2127140
 Real Del Valle,30000000,11500,2608.7,http://www.casasyterrenos.com/detalle-terreno/venta-real+del+valle-tlajomulco+de+zuniga-jalisco-2069095
 San Miguel Cuyutlan,390,74533,0.01,http://www.casasyterrenos.com/detalle-terreno/venta-san+miguel+cuyutlan-tlajomulco+de+zuniga-jalisco-2069074
 El Alcázar (casa Fuerte),1300000,220,5909.09,http://www.casasyterrenos.com/detalle-terreno/venta-el+alcazar+(casa+fuerte)-tlajomulco+de+zuniga-jalisco-1639872
 Colonia Tlajomulco Centro,16500000,7529,2191.53,http://www.casasyterrenos.com/detalle-terreno/venta-tlajomulco+centro-tlajomulco+de+zuniga-jalisco-2122618
 Club De Golf Atlas,2950,2880,1.02,http://www.casasyterrenos.com/detalle-terreno/venta-club+de+golf+atlas-el+salto-jalisco-2007439
 Las Víboras (fraccionamiento Valle De Las Flores),330000,160,2062.5,http://www.casasyterrenos.com/detalle-terreno/venta-las+viboras+(fraccionamiento+valle+de+las+flores)-tlajomulco+de+zuniga-jalisco-1985903
 La Florida,3300000,1700,1941.18,http://www.casasyterrenos.com/detalle-terreno/venta-la+florida-zapopan-jalisco-2087064
 Pueblo Santa Cruz De Las Flores,26496900,58882,450.0,http://www.casasyterrenos.com/detalle-terreno/venta-pueblo+santa+cruz+de+las+flores-tlajomulco+de+zuniga-jalisco-2024407
 El Palomar,6500000,557,11669.66,http://www.casasyterrenos.com/detalle-terreno/venta-el+palomar-tlajomulco+de+zuniga-jalisco-2005017
 Jauja,15000000,5000,3000.0,http://www.casasyterrenos.com/detalle-terreno/venta-jauja-tonala-jalisco-2145109
 Los Gavilanes,180400000,16400,11000.0,http://www.casasyterrenos.com/detalle-terreno/venta-los+gavilanes-tlajomulco+de+zuniga-jalisco-1949051
 Jardines De La Calera,14572000,4800,3035.83,http://www.casasyterrenos.com/detalle-terreno/venta-jardines+de+la+calera-tlajomulco+de+zuniga-jalisco-1846583
 Jardines De La Calera,34000000,11400,2982.46,http://www.casasyterrenos.com/detalle-terreno/venta-jardines+de+la+calera-tlajomulco+de+zuniga-jalisco-1794363
 Senderos De Monte Verde,945000,185,5108.11,http://www.casasyterrenos.com/detalle-terreno/venta-senderos+de+monte+verde-tlajomulco+de+zuniga-jalisco-1989279
 Senderos De Monte Verde,1245000,256,4863.28,http://www.casasyterrenos.com/detalle-terreno/venta-senderos+de+monte+verde-tlajomulco+de+zuniga-jalisco-1989273
 El Zapote Del Valle,9200000,10807,851.3,http://www.casasyterrenos.com/detalle-terreno/venta-el+zapote+del+valle-tlajomulco+de+zuniga-jalisco-1711642
 La Calera,6822000,4548,1500.0,http://www.casasyterrenos.com/detalle-terreno/venta-la+calera-tlajomulco+de+zuniga-jalisco-45640-2147020
 Acatlan De Juarez Centro,8400000,12000,700.0,http://www.casasyterrenos.com/detalle-terreno/venta-acatlan+de+juarez+centro-acatlan+de+juarez-jalisco-45700-1742754
 Acatlan De Juarez Centro,16000000,20000,800.0,http://www.casasyterrenos.com/detalle-terreno/venta-acatlan+de+juarez+centro-acatlan+de+juarez-jalisco-45700-1742759
 Centro,1112000,412,2699.03,http://www.casasyterrenos.com/detalle-terreno/venta-centro-tlajomulco+de+zuniga-jalisco-45640-1745389
 El Muelle El Muey,87500000,250000,350.0,http://www.casasyterrenos.com/detalle-terreno/venta-el+muelle+el+muey-el+salto-jalisco-45685-1742034
 Agua Blanca Sur,110000000,9320,11802.58,http://www.casasyterrenos.com/detalle-terreno/venta-agua+blanca+sur-zapopan-jalisco-45235-931370
 Zapote Del Valle,600000,501,1197.6,http://www.casasyterrenos.com/detalle-terreno/venta-zapote+del+valle-tlajomulco+de+zuniga-jalisco-45672-1663170
 Tulipanes,1380000,276,5000.0,http://www.casasyterrenos.com/detalle-terreno/venta-tulipanes-tlajomulco+de+zuniga-jalisco-45620-2146691
 Tulipanes,1250000,250,5000.0,http://www.casasyterrenos.com/detalle-terreno/venta-tulipanes-tlajomulco+de+zuniga-jalisco-45620-2102919
 Tulipanes,1000000,200,5000.0,http://www.casasyterrenos.com/detalle-terreno/venta-tulipanes-tlajomulco+de+zuniga-jalisco-45620-2102821
 La Calera,6822000,4548,1500.0,http://www.casasyterrenos.com/detalle-terreno/venta-la+calera-tlajomulco+de+zuniga-jalisco-45640-2147020
 Acatlan De Juarez Centro,8400000,12000,700.0,http://www.casasyterrenos.com/detalle-terreno/venta-acatlan+de+juarez+centro-acatlan+de+juarez-jalisco-45700-1742754
 Acatlan De Juarez Centro,16000000,20000,800.0,http://www.casasyterrenos.com/detalle-terreno/venta-acatlan+de+juarez+centro-acatlan+de+juarez-jalisco-45700-1742759
 Centro,1112000,412,2699.03,http://www.casasyterrenos.com/detalle-terreno/venta-centro-tlajomulco+de+zuniga-jalisco-45640-1745389
 El Muelle El Muey,87500000,250000,350.0,http://www.casasyterrenos.com/detalle-terreno/venta-el+muelle+el+muey-el+salto-jalisco-45685-1742034
 Agua Blanca Sur,110000000,9320,11802.58,http://www.casasyterrenos.com/detalle-terreno/venta-agua+blanca+sur-zapopan-jalisco-45235-931370
 Zapote Del Valle,600000,501,1197.6,http://www.casasyterrenos.com/detalle-terreno/venta-zapote+del+valle-tlajomulco+de+zuniga-jalisco-45672-1663170
 Tulipanes,1380000,276,5000.0,http://www.casasyterrenos.com/detalle-terreno/venta-tulipanes-tlajomulco+de+zuniga-jalisco-45620-2146691
 Tulipanes,1250000,250,5000.0,http://www.casasyterrenos.com/detalle-terreno/venta-tulipanes-tlajomulco+de+zuniga-jalisco-45620-2102919
 Tulipanes,1000000,200,5000.0,http://www.casasyterrenos.com/detalle-terreno/venta-tulipanes-tlajomulco+de+zuniga-jalisco-45620-2102821
 Hacienda Mirage,58575000,33000,1775.0,http://www.casasyterrenos.com/detalle-terreno/venta-hacienda+mirage-tlajomulco+de+zuniga-jalisco-45646-1014816
 Fraccionamiento Senderos Monte Verde,1245000,257,4844.36,http://www.casasyterrenos.com/detalle-terreno/venta-fraccionamiento+senderos+monte+verde-tlajomulco+de+zuniga-jalisco-2145886
 El Zapote,5500000,5445,1010.1,http://www.casasyterrenos.com/detalle-terreno/venta-el+zapote-tlajomulco+de+zuniga-jalisco-45640-1177041
 Centro,19000000,11965,1587.96,http://www.casasyterrenos.com/detalle-terreno/venta-centro-tlajomulco+de+zuniga-jalisco-45640-1207806
 Cajititlan,470000,300,1566.67,http://www.casasyterrenos.com/detalle-terreno/venta-cajititlan-tlajomulco+de+zuniga-jalisco-45670-1832913
 Los Cajetes,380000,95,4000.0,http://www.casasyterrenos.com/detalle-terreno/venta-los+cajetes-zapopan-jalisco-45609-1862633
 Bugambilias,2731000,683,3998.54,http://www.casasyterrenos.com/detalle-terreno/venta-bugambilias-zapopan-jalisco-1840073
 El Zapote,1216000,1352,899.41,http://www.casasyterrenos.com/detalle-terreno/venta-el+zapote-tlajomulco+de+zuniga-jalisco-45640-1841433
 Los Cajetes,11000000,2000,5500.0,http://www.casasyterrenos.com/detalle-terreno/venta-los+cajetes-zapopan-jalisco-45609-1883403
 Los Cajetes,17407500,3165,5500.0,http://www.casasyterrenos.com/detalle-terreno/venta-los+cajetes-zapopan-jalisco-45609-1883413
 Lomas Del Aeropuerto,4400000,5064,868.88,http://www.casasyterrenos.com/detalle-terreno/venta-lomas+del+aeropuerto-el+salto-jalisco-45693-139852
 Santa Rosa,13645336,41986,325.0,http://www.casasyterrenos.com/detalle-terreno/venta-santa+rosa-ixtlahuacan+de+los+membrillos-jalisco-45850-139856
 La Guadalupana,6863882,2049,3349.87,http://www.casasyterrenos.com/detalle-terreno/venta-la+guadalupana-tlaquepaque-jalisco-45595-1954741
 Bugambilias,3796200,760,4995.0,http://www.casasyterrenos.com/detalle-terreno/venta-bugambilias-zapopan-jalisco-2125012
 Santa Rosa,910000,780,1166.67,http://www.casasyterrenos.com/detalle-terreno/venta-santa+rosa-ixtlahuacan+de+los+membrillos-jalisco-45850-1955925
 Toluquilla,17800000,3160,5632.91,http://www.casasyterrenos.com/detalle-terreno/venta-toluquilla-tlaquepaque-jalisco-45610-2001671
 El Capulin,100000,133,751.88,http://www.casasyterrenos.com/detalle-terreno/venta-el+capulin-tlajomulco+de+zuniga-jalisco-45640-1748024
 El Capulin,300000,399,751.88,http://www.casasyterrenos.com/detalle-terreno/venta-el+capulin-tlajomulco+de+zuniga-jalisco-45640-1748039
 Jardines De San Sebastian,77000000,70000,1100.0,http://www.casasyterrenos.com/detalle-terreno/venta-jardines+de+san+sebastian-tlajomulco+de+zuniga-jalisco-45640-2032688
 Sin Nombre,800000,350,2285.71,http://www.casasyterrenos.com/detalle-terreno/venta-sin+nombre-tlajomulco+de+zuniga-jalisco-45640-950078
 Lomas Del Aeropuerto,4400000,5064,868.88,http://www.casasyterrenos.com/detalle-terreno/venta-lomas+del+aeropuerto-el+salto-jalisco-45693-139852
 La Guadalupana,6863882,2049,3349.87,http://www.casasyterrenos.com/detalle-terreno/venta-la+guadalupana-tlaquepaque-jalisco-45595-1954741
 Bugambilias,3796200,760,4995.0,http://www.casasyterrenos.com/detalle-terreno/venta-bugambilias-zapopan-jalisco-2125012
 Santa Rosa,910000,780,1166.67,http://www.casasyterrenos.com/detalle-terreno/venta-santa+rosa-ixtlahuacan+de+los+membrillos-jalisco-45850-1955925
 El Capulin,100000,133,751.88,http://www.casasyterrenos.com/detalle-terreno/venta-el+capulin-tlajomulco+de+zuniga-jalisco-45640-1748024
 El Capulin,300000,399,751.88,http://www.casasyterrenos.com/detalle-terreno/venta-el+capulin-tlajomulco+de+zuniga-jalisco-45640-1748039
